Subject,SampEn,dataset,metric
niftiDATA_Subject001_Condition000,0.62799308538016,anestesia_block1,dFC
niftiDATA_Subject002_Condition000,0.573642480202826,anestesia_block1,dFC
niftiDATA_Subject003_Condition000,0.570636003707616,anestesia_block1,dFC
niftiDATA_Subject004_Condition000,0.634695105478776,anestesia_block1,dFC
niftiDATA_Subject005_Condition000,0.693147180559945,anestesia_block1,dFC
niftiDATA_Subject006_Condition000,0.611260021087761,anestesia_block1,dFC
niftiDATA_Subject007_Condition000,0.644001713491057,anestesia_block1,dFC
niftiDATA_Subject008_Condition000,0.644683227451961,anestesia_block1,dFC
niftiDATA_Subject009_Condition000,0.649419682796726,anestesia_block1,dFC
niftiDATA_Subject010_Condition000,0.573345980747325,anestesia_block1,dFC
niftiDATA_Subject011_Condition000,0.527206844949449,anestesia_block1,dFC
niftiDATA_Subject012_Condition000,0.644683227451961,anestesia_block1,dFC
niftiDATA_Subject013_Condition000,0.51251054413091,anestesia_block1,dFC
niftiDATA_Subject014_Condition000,0.755332270833475,anestesia_block1,dFC
niftiDATA_Subject015_Condition000,0.674012200373926,anestesia_block1,dFC
niftiDATA_Subject016_Condition000,0.630813731980688,anestesia_block1,dFC
niftiDATA_Subject017_Condition000,0.606011433195178,anestesia_block1,dFC
niftiDATA_Subject001_Condition000,0.579955472172545,anestesia_block2,dFC
niftiDATA_Subject002_Condition000,0.605764677197527,anestesia_block2,dFC
niftiDATA_Subject003_Condition000,0.604148916367898,anestesia_block2,dFC
niftiDATA_Subject004_Condition000,0.599507116962725,anestesia_block2,dFC
niftiDATA_Subject005_Condition000,0.592370961324062,anestesia_block2,dFC
niftiDATA_Subject006_Condition000,0.576475873756252,anestesia_block2,dFC
niftiDATA_Subject007_Condition000,0.609861193722422,anestesia_block2,dFC
niftiDATA_Subject008_Condition000,0.557420768058745,anestesia_block2,dFC
niftiDATA_Subject009_Condition000,0.522405271881738,anestesia_block2,dFC
niftiDATA_Subject010_Condition000,0.667504749946608,anestesia_block2,dFC
niftiDATA_Subject011_Condition000,0.529634955723487,anestesia_block2,dFC
niftiDATA_Subject012_Condition000,0.588254063835611,anestesia_block2,dFC
niftiDATA_Subject013_Condition000,0.542421999555714,anestesia_block2,dFC
niftiDATA_Subject014_Condition000,0.625889240228167,anestesia_block2,dFC
niftiDATA_Subject015_Condition000,0.649514471812247,anestesia_block2,dFC
niftiDATA_Subject016_Condition000,0.574214587356575,anestesia_block2,dFC
niftiDATA_Subject017_Condition000,0.637318731007003,anestesia_block2,dFC
niftiDATA_Subject001_Condition000,0.517151307417664,anestesia_block3,dFC
niftiDATA_Subject002_Condition000,0.471141226969122,anestesia_block3,dFC
niftiDATA_Subject003_Condition000,0.562948013611232,anestesia_block3,dFC
niftiDATA_Subject004_Condition000,0.620421760817792,anestesia_block3,dFC
niftiDATA_Subject005_Condition000,0.658083206688488,anestesia_block3,dFC
niftiDATA_Subject006_Condition000,0.632928320566891,anestesia_block3,dFC
niftiDATA_Subject007_Condition000,0.678780203762407,anestesia_block3,dFC
niftiDATA_Subject008_Condition000,0.541488403342866,anestesia_block3,dFC
niftiDATA_Subject009_Condition000,0.610865260153331,anestesia_block3,dFC
niftiDATA_Subject010_Condition000,0.542071478284513,anestesia_block3,dFC
niftiDATA_Subject011_Condition000,0.54541659291124,anestesia_block3,dFC
niftiDATA_Subject012_Condition000,0.596277031638647,anestesia_block3,dFC
niftiDATA_Subject013_Condition000,0.68405161507546,anestesia_block3,dFC
niftiDATA_Subject014_Condition000,0.592907810622675,anestesia_block3,dFC
niftiDATA_Subject015_Condition000,0.597256280646385,anestesia_block3,dFC
niftiDATA_Subject016_Condition000,0.558834842952351,anestesia_block3,dFC
niftiDATA_Subject017_Condition000,0.682697764685604,anestesia_block3,dFC
niftiDATA_Subject001_Condition000,0.615555803817762,anestesia_block4,dFC
niftiDATA_Subject002_Condition000,0.627085429881853,anestesia_block4,dFC
niftiDATA_Subject003_Condition000,0.647010497624192,anestesia_block4,dFC
niftiDATA_Subject004_Condition000,0.643257511057096,anestesia_block4,dFC
niftiDATA_Subject005_Condition000,0.567198929819904,anestesia_block4,dFC
